item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (10/29),"10,367",1일전 (10/28),"10,633",1주일전 (10/22),"13,872",2주일전 (10/15),"14,713",1개월전,"8,865",1년전,"10,977",일평년,"7,763",2024-10-29,서울
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (10/30),"9,922",1일전 (10/29),"10,367",1주일전 (10/23),"13,839",2주일전 (10/16),"15,213",1개월전,"8,865",1년전,"10,977",일평년,"7,763",2024-10-30,서울
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/01),-,1일전 (12/31),-,1주일전 (12/25),-,2주일전 (12/18),"6,395",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-01,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/02),"7,480",1일전 (01/01),-,1주일전 (12/26),"7,130",2주일전 (12/19),"6,395",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-02,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/03),"7,315",1일전 (01/02),"7,480",1주일전 (12/27),"7,130",2주일전 (12/20),"6,395",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-03,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/04),"7,315",1일전 (01/03),"7,315",1주일전 (12/28),"7,130",2주일전 (12/21),"6,395",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-04,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/05),"6,615",1일전 (01/04),"7,315",1주일전 (12/29),"7,480",2주일전 (12/22),"7,130",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-05,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/06),-,1일전 (01/05),"6,615",1주일전 (12/30),-,2주일전 (12/23),-,1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-06,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/08),"6,450",1일전 (01/07),-,1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-08,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/09),"6,615",1일전 (01/08),"6,450",1주일전 (01/02),"7,480",2주일전 (12/26),"7,130",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-09,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/10),"6,615",1일전 (01/09),"6,615",1주일전 (01/03),"7,315",2주일전 (12/27),"7,130",1개월전,"6,407",1년전,"5,173",일평년,"5,168",2024-01-10,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/11),"6,615",1일전 (01/10),"6,615",1주일전 (01/04),"7,315",2주일전 (12/28),"7,130",1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-11,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/12),"6,700",1일전 (01/11),"6,615",1주일전 (01/05),"6,615",2주일전 (12/29),"7,480",1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-12,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/13),-,1일전 (01/12),"6,700",1주일전 (01/06),-,2주일전 (12/30),-,1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-13,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/15),"6,700",1일전 (01/14),-,1주일전 (01/08),"6,450",2주일전 (01/01),-,1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-15,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/16),"6,700",1일전 (01/15),"6,700",1주일전 (01/09),"6,615",2주일전 (01/02),"7,480",1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-16,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/17),"6,700",1일전 (01/16),"6,700",1주일전 (01/10),"6,615",2주일전 (01/03),"7,315",1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-17,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/18),"6,700",1일전 (01/17),"6,700",1주일전 (01/11),"6,615",2주일전 (01/04),"7,315",1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-18,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/19),"7,400",1일전 (01/18),"6,700",1주일전 (01/12),"6,700",2주일전 (01/05),"6,615",1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-19,
토마토,225,토마토(1kg),0,상품,4,1kg,당일 (01/20),-,1일전 (01/19),"7,400",1주일전 (01/13),-,2주일전 (01/06),-,1개월전,"6,125",1년전,"5,267",일평년,"5,298",2024-01-20,
