item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,region
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (10/31),"34,800",1일전 (10/30),-,1주일전 (10/24),-,2주일전 (10/17),-,1개월전,-,1년전,"43,231",일평년,"43,231",2024-10-31,
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/01),"40,867",1일전 (10/31),"42,850",1주일전 (10/25),-,2주일전 (10/18),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-01,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/02),-,1일전 (11/01),"40,867",1주일전 (10/26),-,2주일전 (10/19),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-02,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/04),"42,533",1일전 (11/03),-,1주일전 (10/28),-,2주일전 (10/21),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-04,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/05),"42,533",1일전 (11/04),"42,533",1주일전 (10/29),-,2주일전 (10/22),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-05,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/06),"42,533",1일전 (11/05),"42,533",1주일전 (10/30),-,2주일전 (10/23),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-06,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/07),"42,533",1일전 (11/06),"42,533",1주일전 (10/31),"42,850",2주일전 (10/24),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-07,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/08),"45,867",1일전 (11/07),"42,533",1주일전 (11/01),"40,867",2주일전 (10/25),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-08,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/11),"45,867",1일전 (11/10),-,1주일전 (11/04),"42,533",2주일전 (10/28),-,1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-11,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/12),"45,867",1일전 (11/11),"45,867",1주일전 (11/05),"42,533",2주일전 (10/29),-,1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-12,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/13),"45,867",1일전 (11/12),"45,867",1주일전 (11/06),"42,533",2주일전 (10/30),-,1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-13,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/14),"44,200",1일전 (11/13),"45,867",1주일전 (11/07),"42,533",2주일전 (10/31),"42,850",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-14,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/15),"44,200",1일전 (11/14),"44,200",1주일전 (11/08),"45,867",2주일전 (11/01),"40,867",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-15,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/18),"44,200",1일전 (11/17),-,1주일전 (11/11),"45,867",2주일전 (11/04),"42,533",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-18,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/19),"44,200",1일전 (11/18),"44,200",1주일전 (11/12),"45,867",2주일전 (11/05),"42,533",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-19,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/20),"44,200",1일전 (11/19),"44,200",1주일전 (11/13),"45,867",2주일전 (11/06),"42,533",1개월전,-,1년전,"48,516",일평년,"48,516",2024-11-20,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/21),"44,200",1일전 (11/20),"44,200",1주일전 (11/14),"44,200",2주일전 (11/07),"42,533",1개월전,"60,955",1년전,"51,004",일평년,"51,004",2024-11-21,부산
절임배추,266,가을(20kg),3,상품,4,20kg,당일 (11/22),"47,850",1일전 (11/21),"44,200",1주일전 (11/15),"44,200",2주일전 (11/08),"45,867",1개월전,"60,955",1년전,"51,004",일평년,"51,004",2024-11-22,부산
절임배추,266,가을(20kg),03,상품,04,20kg,당일 (11/25),"47,850",1일전 (11/24),-,1주일전 (11/18),"44,200",2주일전 (11/11),"45,867",1개월전,"60,955",1년전,"51,004",일평년,"51,004",2024-11-25,부산
