,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
13,호박,224,애호박(1개),01,상품,04,1개,당일 (11/01),"2,780",1일전 (10/31),"2,780",1주일전 (10/25),"2,430",2주일전 (10/18),"2,155",1개월전,"2,279",1년전,"1,519",일평년,"1,366",2024-11-01
14,호박,224,애호박(1개),01,중품,05,1개,당일 (11/01),"2,000",1일전 (10/31),"2,000",1주일전 (10/25),"1,660",2주일전 (10/18),"1,660",1개월전,"1,646",1년전,"1,080",일평년,994,2024-11-01
15,호박,224,쥬키니(1개),02,상품,04,1개,당일 (11/01),"2,990",1일전 (10/31),"2,990",1주일전 (10/25),"3,990",2주일전 (10/18),"3,590",1개월전,"4,109",1년전,"1,883",일평년,"1,562",2024-11-01
16,토마토,225,토마토(1kg),00,상품,04,1kg,당일 (11/01),"9,180",1일전 (10/31),"9,180",1주일전 (10/25),"9,863",2주일전 (10/18),"11,058",1개월전,"10,099",1년전,"8,931",일평년,"7,029",2024-11-01
17,무,231,고랭지(1개),02,상품,04,1개,당일 (11/01),"3,370",1일전 (10/31),"3,370",1주일전 (10/25),"4,160",2주일전 (10/18),"4,160",1개월전,"3,731",1년전,"1,719",일평년,"2,405",2024-11-01
18,무,231,고랭지(1개),02,중품,05,1개,당일 (11/01),"2,810",1일전 (10/31),"3,070",1주일전 (10/25),"3,453",2주일전 (10/18),"3,430",1개월전,"3,309",1년전,"1,575",일평년,"2,045",2024-11-01
19,당근,232,무세척(1kg),01,상품,04,1kg,당일 (11/01),"7,028",1일전 (10/31),"7,128",1주일전 (10/25),"6,840",2주일전 (10/18),"6,195",1개월전,"7,377",1년전,"5,755",일평년,"5,009",2024-11-01
20,당근,232,무세척(1kg),01,중품,05,1kg,당일 (11/01),"3,825",1일전 (10/31),"3,910",1주일전 (10/25),"4,325",2주일전 (10/18),"4,250",1개월전,"5,569",1년전,"4,607",일평년,"3,595",2024-11-01
21,열무,233,열무(1kg),00,상품,04,1kg,당일 (11/01),"4,340",1일전 (10/31),"4,468",1주일전 (10/25),"4,415",2주일전 (10/18),"4,845",1개월전,"4,873",1년전,"2,653",일평년,"2,801",2024-11-01
22,건고추,241,화건(600g),00,상품,04,600g,당일 (11/01),"16,833",1일전 (10/31),"16,833",1주일전 (10/25),"16,833",2주일전 (10/18),"15,700",1개월전,"18,406",1년전,"17,388",일평년,"16,285",2024-11-01
23,풋고추,242,풋고추(녹광 등)(100g),00,상품,04,100g,당일 (11/01),"2,118",1일전 (10/31),"2,118",1주일전 (10/25),"2,288",2주일전 (10/18),"1,633",1개월전,"1,861",1년전,"1,631",일평년,"1,539",2024-11-01
24,풋고추,242,꽈리고추(100g),02,상품,04,100g,당일 (11/01),"1,878",1일전 (10/31),"1,878",1주일전 (10/25),"1,925",2주일전 (10/18),"1,838",1개월전,"2,193",1년전,"1,283",일평년,"1,257",2024-11-01
25,풋고추,242,꽈리고추(100g),02,중품,05,100g,당일 (11/01),"1,580",1일전 (10/31),"1,580",1주일전 (10/25),"1,595",2주일전 (10/18),"1,445",1개월전,"1,212",1년전,836,일평년,845,2024-11-01
26,풋고추,242,청양고추(100g),03,상품,04,100g,당일 (11/01),"1,588",1일전 (10/31),"1,588",1주일전 (10/25),"1,525",2주일전 (10/18),"1,416",1개월전,"1,464",1년전,"1,377",일평년,"1,082",2024-11-01
27,풋고추,242,청양고추(100g),03,중품,05,100g,당일 (11/01),"1,255",1일전 (10/31),"1,255",1주일전 (10/25),"1,215",2주일전 (10/18),"1,055",1개월전,920,1년전,880,일평년,756,2024-11-01
28,풋고추,242,오이맛고추(100g),04,상품,04,100g,당일 (11/01),"1,813",1일전 (10/31),"1,813",1주일전 (10/25),"1,810",2주일전 (10/18),"1,465",1개월전,"1,304",1년전,"1,187",일평년,"1,089",2024-11-01
